tm_Vol,tm_Clo,bel_Vol,bel_Clo,nmdc_Vol,nmdc_Clo,ongc_Vol,ongc_Clo,hdfc_Vol,hdfc_Clo
9161527,391.1050109863281,968220,10.85454464,5716908,145.1999969,4972035,189.23333740234372,7129236,338.125
6589128,386.9001159667969,1607364,10.78282833,5276456,140.9499969,2818602,187.8999938964844,2305326,334.45001220703125
5746480,376.1157836914063,734184,10.80706978,2851876,137.4499969,3046560,189.13333129882807,3894570,332.70001220703125
12795552,380.0733337402344,672408,10.87121201,1547141,136.8500061,3551562,184.8999938964844,6740380,326.25
10867678,373.09814453125,518067,10.78333282,1802390,132.25,3882312,180.13333129882812,5608152,327.125
8371308,356.1796264648437,360657,10.71212101,2087601,130.9499969,4685565,177.23333740234375,4490160,322.9750061035156
7569112,362.3138122558594,445104,10.78484821,850958,131.5,4468278,179.23333740234375,5280542,316.8500061035156
12412670,382.9425659179688,466290,10.85606003,1573062,132.3500061,3209238,180.06666564941406,6313430,321.1000061035156
11666439,388.0873718261719,4938318,10.76565647,2135045,131.9499969,3972637,186.0333404541016,7436960,334.3999938964844
4708349,387.1969299316406,3643299,10.79646397,1481060,130.8999939,2838157,184.8999938964844,3394518,330.0249938964844
4937027,381.9036865234375,294327,10.79040432,1564296,131.1499939,6627633,184.46665954589844,4185048,324.7749938964844
3671278,379.0839538574219,304722,10.77575684,2732526,130.1000061,3187033,180.3000030517578,6393828,318.82501220703125
6255613,370.179443359375,8023356,10.72979736,4006245,128.25,4349520,185.46665954589844,3746192,321.07501220703125
3853065,382.0521240234375,441837,10.77171707,1362578,130.9499969,4000981,192.23333740234372,8075270,329.875
5239356,386.1086120605469,457875,10.73232269,2045128,126.3499985,3356241,191.43333435058597,7239258,326.4750061035156
6778369,394.963623046875,293931,10.69898891,2685655,125.1500015,4553977,193.26666259765625,4296506,326.7749938964844
9209776,393.6774291992188,599445,10.69747353,2268864,124.5,5615382,194.63333129882807,7386866,326.70001220703125
4868508,394.4689331054688,375210,10.6712122,3106362,132.5,4428400,199.3999938964844,4785540,330.6499938964844
7712473,395.65618896484375,438372,10.6580801,1422911,134.1000061,8868981,196.6000061035156,3429306,330.6499938964844
7643867,394.8152160644531,264132,10.68535328,4159158,137.25,5402737,194.93333435058597,5144140,327.875
4973951,388.4831237792969,435699,10.64141369,3884102,139.9499969,4140013,191.26666259765625,5238304,328.79998779296875
5074094,386.1580810546875,511731,10.62121201,2782136,142.1499939,2882589,193.93333435058597,16009996,344.04998779296875
4703974,386.751708984375,585090,10.56818104,2088706,142.9499969,4720327,196.0333404541016,8034616,341.3500061035156
7931898,389.2746276855469,515394,10.60454464,2974222,143.0500031,7243480,203.36666870117188,12632814,348.32501220703125
7677943,386.5538330078125,2430252,10.57727242,3157974,141.8999939,7227811,198.6999969482422,12532440,348.3500061035156
8412969,373.7907104492188,693495,10.55252457,2186477,139.8500061,3939138,194.5333404541016,6144888,347.7749938964844
15588961,356.6248474121094,642411,10.55101013,1382621,139.0500031,4265002,188.86666870117188,6433848,347.6000061035156
